How did Lincoln handle Fort Sumter?	He didn't send troops, he made the South decide whether to attack or not.
What were the ideals of the Federalists?	Loose interpretation of the Constitution, strong central government, pro-British, business centered, national bank, tariffs.
What did Washington advise in his farewell address?	"Don't get involved in European affairs, don't make ""permanent alliances"", don't form political parties, avoid sectionalism."
What precedent did Washington set?	The two term tradition
Who won the election of 1796?	John Adams (F) with Aarron Burr as VP (DR)
What was the XYZ affair?	After ships attacked, Adams sends a delagate to France.&nbsp;&nbsp;They're met by Agents X Y and Z who want a bribe to let them see the king.&nbsp;&nbsp;People wanted war with France after that.
What were the purpose of the Alien and Sedition Acts?	To stop DR power from growing.
What was the Naturalization Act?	Made immigrants need to stay 14 years before citizenship.
What was the Alien Act?	The president could deport any aliens considered dangerous, and detain during war.
What was the Sedition Act?	Newspaper editors couldn't criticize the president or Congress.
What were the Kentucky and Virginia Resolutions?	In response to the Alien and Sedition Acts, VA and KY tried to nullify their effects.
Who won the Revolution of 1800?	Thomas Jeffersn and Aaron Burr tied in votes (both DR).&nbsp;&nbsp;TJ won through the aid of AH.
What policies did Jefferson follow?	Keep the national bank and debt repayment.&nbsp;&nbsp;Stay neutral.&nbsp;&nbsp;Limit the central government, size of military, destroy the excise taxes, and reduce the national debt.
What was the twelfth ammendment?	Candidates run together to avoid a tiebreak.
Who was Robert Livingston?	The guy TJ sent to go buy New Orleans.
Why does Napoleon sell all of Louisianna?	He needed to put French money in Europe, and Toussaint l'Ouverture was owning him in Santo&nbsp;&nbsp;Domingo.
How much did America get Louisianna for?	15 million.
Why is Jefferson wary of taking the deal for Louisianna?	He doesn't know if he has constitutional power to do it.
What did TJ use to explore the Louisiana Purchase?	Lewis and Clark.
How did the Federalists still have power during the TJ regime?	John Marshall.
Why did the Marbury vs. Madison (1803) case come up?	On his last day of his presidency, Adams appointed someone.&nbsp;&nbsp;James Madison doesn't get the letter in time, so Marbury wants to sue him.
What was the ruling on Marbury vs. Madison (1803)?	COurt say sMarbury deserves the spot, but they can't force madison to give it to him.&nbsp;&nbsp;Marshall also declares the Judiciary Act 1789 unconstitutional because Congress can't control the court.
What was judicial review that Marshall established?	Supreme Court could excercise the power to say whether something by Congress or President is unconstitutional or not.
How did TJ respond to Madison vs. Marbury (1803)?	Tried to impeach Federalist judges.
Who challenged Hamilton to a duel?	Aaron Burr.
Who do the Essex Junto use to do their bidding?	Aaron Burr.
What happens to Burr after killing Hamilton and trying to have New England secede?	He is convicted for treason.
"Who are ""The Quids""?"	They were a faction of DRs that opposed TJ.
How did TJ handle the Barbary Pirates capture of Americans?	He tried to kill the pirates, didn't work so he just paid them.&nbsp;&nbsp;Very emberrasing.
What was impressment?	Britain took over American ships, and used Americans as their workers.
What was the Chesapeake-Leopard affair?	British Leopard took over the American Chesapeake.&nbsp;&nbsp;Impressment.&nbsp;&nbsp;Got publicized, and anti-British feelings ran high.
What was the Embargo Act (1807)?	To prevent British and French ships from harrassing American ships, TJ prevented trade with them.&nbsp;&nbsp;Destroyed the American economy.&nbsp;&nbsp;NE even wanted to secede after that.
Who wins the election of 1808?	James Madison. He beats Charles Pinckney.
What was the Nonintercourse Act (1809)?	Allowed for Americans to trade with everyone but France and Britain.
What was Macon's Bill Number two?	U.S. would be able to trade with Britain and France, unless they attacked our ships.
Who wins the election of 1812?	Madison, he beats out DeWitt Clinton (F).
What were the causes of the War of 1812?	Britain and France not respecting ships, most Americans were pro-french, people in the West blame Britain for aiding the natives, maybe obtain Canada, Warhawks are crazy.
How did the invasion of Canada go?	It failed.
What did the Treaty of Ghent do?	It called for a stop to the fighting, it returned all conquered territory back to original state, recognized pre-war boundary between Canada and the States.<br /><br />1814
What was the Hartford Convention?	After the War of 1812, New England Federalists decide they want to secede.&nbsp;&nbsp;They fail though as America rebounds.
What was the time during Monroe's Presidency known as?	"""The Era of Good Feelings."""
"Why was the ""Era of Good Feelings"" kind of a lie?"	The sectionalism.&nbsp;&nbsp;It was intense.
"What cultural nationalism developed during ""The Era of Good Feelings""?"	People became ferverant nationalist after the War of 1812.&nbsp;&nbsp;This was demonstrated through the arts and actions.
How did economic nationalism grow?	Through tariffs and The American System.
What was the Tariff of 1816?	It put a protective tariff on goods imported into America.
What was in Henry Clay's American System?	Protective Tariffs, a national bank, internal improvements.
Why was internal improvements the only part of the American System that wasn't followed?	Monroe and Madison didn't know if it was constitutional to put them into place.
When was the Second National Bank chartered?	1816.
What was the first panic of American history?	The Panic of 1819.
What caused the Panic of 1819?	Cotton prices fall dramatically.&nbsp;&nbsp;Banks credit can't really give.&nbsp;&nbsp;People stop paying off their debts.
What were Marshall's decisions aimed at?	Increading the power of the Judicial branch and pushing Federalist ideas.
What happened in Fletcher v. Peck (1810)?	States couldn't pass legislation invalidating a contract.&nbsp;&nbsp;(Georgia trying to do land fraud).
What happened in McCulloch v. Maryland (1819)?	Marshall ruled that the National Bank was part of Congress's implied powers.&nbsp;&nbsp;States also couldn't tax the National bank.&nbsp;&nbsp;Supreme laws rule over state laws.
What was Dartmouth College v. Woodward (1819)?	New Hampshire wanted to make a college public that was private (Dartmouth).&nbsp;&nbsp;State couldn't change a private contract.
What was Gibbons v. Ogden (1821)?	New York wanted to give a monopoly to a steamboat company, but this conflicted with Congress charter.&nbsp;&nbsp;Marshall ruled that New York monopoly was unconstitutional, federal govt. has control over interstate commerce.
Why did America want to expand westward?	Native American land aquisition, economic pressures, improved transportation, and immigrants.
What did western states demand for growth?	land made at cheaper prices, improved transportation, and credit from state banks.
What was the Tallmadge Amendment?	Was to stop the expansion of slavery in Missouri. It stopped letting slaves in, and at 25 the slaves would be emancipated.
Why did the Tallmadge Ammendment fail?	Southerners didn't like the North encroaching.
What did Clay propose for the Missouri Compromise?	Missouri becomes a slave state.&nbsp;&nbsp;Maine comes in as free. 36, 30 line established.
What was the Rush-Bagot Treaty (1817)?	It disarmed the Great Lakes.&nbsp;&nbsp;It also established the Canadian-American border.
What was the Treaty of 1818?	America and Britain agreed....shared fishing rights off of Newfoundland, joint occupation of Oregon, and northern limits of the Louisiana Territory at the 49th parallel (establish border)
What part did Andrew Jackson play in getting Florida?	Pwn'd the Seminole.
What was the Florida Purchase Treaty (1819)?	Spain was worried the Americans would use force.&nbsp;&nbsp;They gave up Florida and it's Oregon claims for five million.&nbsp;&nbsp;U.S. had to give up Texas though.
Who wrote the Monroe Doctorine?	JQA.
What did the Monroe Doctorine say?	Americas no longer colonized by Europe; foreign actions on the Americas&nbsp;&nbsp;an attack on the U.S.; U.S. will not get involved with Euro colonies; U.S. will not get involved with Euro affairs.
What was the Lancaster Turnpike?	A major road going in Pennsylvania.&nbsp;&nbsp;It was a successful toll road, and example of internal improvements.
What was the Cumberland Road	It went from Virginia to Maryland.&nbsp;&nbsp;Connect North and South
Why did Madison veto the Cumberland Road support?	Didn't know if it was constitutional.
What was the importance of the Erie Canal?	It linked western farms with eastern cities.&nbsp;&nbsp;And it lead to much more canal building.
Who invented the steamboat?	Robert Fullton.
What was the effect of railroads?	Major boost in transportation.&nbsp;&nbsp;Made cities like Chicago and Detroit book.
What did Eli Whitney do?	Cotton gin and interchangable parts of guns.
How did corporations raise capital after the War of 1812?	They were allowed to use stock.
Who was Samuel Slater?	He took the cotton-spinning machine blueprint from England.
What was the Lowell System?	They used women as their primary source of labor.
Why did specialization decrease?	Industrialization.
Why did unions fail?	Immigrant workers, state laws, and economic depressions with unemployment
How did the market revolution affect women?	They began to have less children and gain more control over their lives.
What happened to the economy with the market revolution?	It became better, people got wealthier.
